구분,가게이름,카테코리(대),카테고리(중),주소,link,caption,lat,lon,benefit
1,샤인휘트니스 어린이대공원역점,건강,헬스장,서울특별시 광진구 화양동 527 KCC파크타운 B1 샤인휘트니스,https://www.instagram.com/alliance.student.konkuk/p/DGx7_Dfv91b/,[건국대학교 총학생회 그린 X 샤인휘트니스 어린이대공원역점],37.54658274,127.0750378,"모바일 학생증 제시 시 회원권 7개월 28만 7천원(부가세 포함), 1학기 무상 정지, 회원권 13개월 43만 9천원(부가세 포함), 2학기 무상 정지, 직계 가족까지 혜택 적용(증빙 서류 지참 필수), 오픈 전 사전 등록 시 1개월 추가 지급(04/01 오픈 예정)"
2,건강사우나,건강,찜질방,서울특별시 광진구 자양동 520-9 신축빌딩,https://www.instagram.com/alliance.student.konkuk/p/DGx8XJKPrxU/,[건국대학교 총학생회 그린 X 건강 사우나],37.53419571,127.0743074,주간 (오전 9시-오후 20시) 1천원 할인
3,맥스토탈 휘트니스 건대점,건강,헬스장,서울특별시 광진구 화양동 6-2 연한빌딩 6층 맥스토탈 휘트니스 건대점,https://www.instagram.com/alliance.student.konkuk/p/DGx8Ju6vt2l/,[건국대학교 총학생회 그린 X 맥스토탈 휘트니스 건대점],37.5406477,127.0701642,"총액 10% 할인 (신입생 대상 3개월 10%, 6개월 15%, 12개월 20% 할인)"
4,비취보석사우나,건강,찜질방,서울특별시 광진구 자양동 553-501 삼희빌딩,https://www.instagram.com/alliance.student.konkuk/p/DGx8FzcvgiC/,[건국대학교 총학생회 그린 X 비취보석사우나],37.53424389,127.0712756,주간 (오전 9시-오후 20시) 1천원 할인
5,아메리카요가 건대점,건강,요가원,서울특별시 광진구 화양동 48-3 5층,https://www.instagram.com/alliance.student.konkuk/p/DGx7XD2PoST/,[건국대학교 총학생회 그린 X 아메리카 요가 건대점],37.54142644,127.0672116,"상담 예약 시 ""건대생"" 이라고 말씀해 주신 후, 인스타 캡쳐본과 학생증 제시하면 10% 할인 (기간별 상이), 시험 기간, 본가 방문 시 홀딩 가능 (서류 첨부 필수)"
6,어게인짐 건대입구역점,건강,헬스장,"서울특별시 광진구 자양동 8-4 2층, 3층",https://www.instagram.com/alliance.student.konkuk/p/DGx7SRrvzzp/,[건국대학교 총학생회 그린 X 어게인짐 건대입구역점],37.5408703,127.0671183,"3개월 16만 5천원, 6개월 26만 4천원, 12개월 39만 6천원으로 이용 가능 , 가입비 면제 , 운동복 무료 제공"
7,에이블짐 건대입구역점,건강,헬스장,서울특별시 광진구 자양동 9-4 몰오브케이 지하1층,https://www.instagram.com/alliance.student.konkuk/p/DGx7Nr-vvFO/,[건국대학교 총학생회 그린 X 에이블짐 건대입구역점],37.53978867,127.0669346,"1. 3개월 : 18만원(월 6만원), 6개월 : 33만원(월 5.5만원), 10개월 : 50만원(월 5만원)
2.동반 가입 및 지인 소개 시 3개월 : 16만 5천원, 6개월 : 31만 5천원, 10개월 : 48만 5천원
3. 운동복, 수건 무료 제공, 무료 PT 최대 3회 제공
4. PT 회당 5만원"
8,이브필라테스 건대프리미엄점,건강,필라테스,서울특별시 광진구 화양동 5-45 3층,https://www.instagram.com/alliance.student.konkuk/p/DGx7CSFPipo/,[건국대학교 총학생회 그린 X 이브필라테스 건대프리미엄점],37.54159679,127.0710974,"제휴 혜택 : 총액의 15% 할인 혜택 및 당일 등록 혜택으로 횟수 추가 증정. 동반 등록 시 추가 혜택 (기간, 횟수 중 택 1) 증정, 네이버 리뷰 참여 필수"
9,휘트니스 캐리스타,건강,헬스장,서울특별시 광진구 자양동 74-14 한강복합빌딩 2층 휘트니스 캐리스타,https://www.instagram.com/alliance.student.konkuk/p/DGx6sVMPE_O/,[건국대학교 총학생회 그린 X 휘트니스 캐리스타],37.53231832,127.0667331,"3개월에 18만원, 6개월에 30만원 - 회원권"
10,로젠필라테스 구의점,건강,필라테스,서울 광진구 자양로144 B01호,https://www.instagram.com/p/DGx8S90Pvxd/?img_index=1,[건국대학교 총학생회 그린 X 로젠 필라테스],37.54043584,127.0836372,"1. 그룹 수업 1개월~5개월 회원권 5%씩 할인 적용
2. 개인수업 10회권은 회당 6만원 할인 적용, 20회, 30회 권은 회당 5만 5천원으로 할인 적용
3. 시험 기간에 정지(3주까지) 가능"
